# Revision 1.0,,,,,,,,,,,,,,,
"# October 27, 2020",,,,,,,,,,,,,,,
# Revision 1.1,,,,,,,,,,,,,,,
"# May 25, 2022",,,,,,,,,,,,,,,
"# In LIFCL-17 and LIFCL-40 package QFN72, changed Pin 39 to VCCADC18.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
43,PR9B,1,EIO,Comp_OF_PR9A,-,-,,,43,PR13B,1,,Comp_OF_PR13A,-,-
44,PR7B,1,SD2/SCL/USER_SCL,Comp_OF_PR7A,-,-,,,44,PR11B,1,SCL/USER_SCL,Comp_OF_PR11A,-,-
45,PR5B,1,TDO/SSO/SD1,Comp_OF_PR5A,-,-,,,45,PR10B,1,TDO/SSO,Comp_OF_PR10A,-,-
46,PR5A,1,TDI/SSI/SD0,True_OF_PR5B,-,-,,,46,PR8B,1,TDI/SSI,Comp_OF_PR8A,-,-
47,VCCAUX,-,-,-,-,-,,,47,VCCAUX,-,-,-,-,-
48,PR3B,1,TMS/SCSN,-,-,-,,,48,PR6B,1,TMS/SCSN,Comp_OF_PR6A,-,-
49,VCCIO1,1,-,-,-,-,,,49,VCCIO1,1,-,-,-,-
50,JTAG_EN,1,-,-,-,-,,,50,JTAG_EN,1,-,-,-,-
51,PT63A,0,MISO/MD1,True_OF_PT63B,-,-,,,51,PT80A,0,MISO/MD1,True_OF_PT80B,-,-
52,PT65A,0,MD3,True_OF_PT65B,-,-,,,52,PT82A,0,MD3,True_OF_PT82B,-,-
53,PT65B,0,MCSNO/MSDO,Comp_OF_PT65A,-,-,,,53,PT82B,0,MCSNO/MSDO,Comp_OF_PT82A,-,-
54,VCCIO0,0,-,-,-,-,,,54,VCCIO0,0,-,-,-,-
55,PT63B,0,MD2,Comp_OF_PT63A,-,-,,,55,PT80B,0,MD2,Comp_OF_PT80A,-,-
56,PT61A,0,MCSN/PCLKT0_1,True_OF_PT61B,-,-,,,56,PT78A,0,MCSN/PCLKT0_1,True_OF_PT78B,-,-
57,PT61B,0,MOSI/MD0,Comp_OF_PT61A,-,-,,,57,PT78B,0,MOSI/MD0,Comp_OF_PT78A,-,-
58,PT59B,0,DONE,Comp_OF_PT59A,-,-,,,58,PT76B,0,DONE,Comp_OF_PT76A,-,-
59,PT59A,0,MCLK/PCLKT0_0,True_OF_PT59B,-,-,,,59,PT76A,0,MCLK/PCLKT0_0,True_OF_PT76B,-,-
60,PT57B,0,PROGRAMN,Comp_OF_PT57A,-,-,,,60,PT74B,0,PROGRAMN,Comp_OF_PT74A,-,-
61,PT57A,0,INITN,True_OF_PT57B,-,-,,,61,PT74A,0,INITN,True_OF_PT74B,-,-
62,VCC,-,-,-,-,-,,,62,VCC,-,-,-,-,-
63,VCCPLLDPHY0,60,-,-,-,-,,,63,VCCPLLDPHY0,60,-,-,-,-
64,DPHY0_DP3,60,-,True_OF_DPHY0_DN3,-,-,,,64,DPHY0_DP3,60,-,True_OF_DPHY0_DN3,-,-
65,DPHY0_DN3,60,-,Comp_OF_DPHY0_DP3,-,-,,,65,DPHY0_DN3,60,-,Comp_OF_DPHY0_DP3,-,-
66,DPHY0_DP1,60,-,True_OF_DPHY0_DN1,-,-,,,66,DPHY0_DP1,60,-,True_OF_DPHY0_DN1,-,-
67,DPHY0_DN1,60,-,Comp_OF_DPHY0_DP1,-,-,,,67,DPHY0_DN1,60,-,Comp_OF_DPHY0_DP1,-,-
68,DPHY0_CKP,60,-,True_OF_DPHY0_CKN,-,-,,,68,DPHY0_CKP,60,-,True_OF_DPHY0_CKN,-,-
69,DPHY0_CKN,60,-,Comp_OF_DPHY0_CKP,-,-,,,69,DPHY0_CKN,60,-,Comp_OF_DPHY0_CKP,-,-
70,VCCDPHY0,60,-,-,-,-,,,70,VCCDPHY0,60,-,-,-,-
71,VCCADPHY0,60,-,-,-,-,,,71,VCCADPHY0,60,-,-,-,-
72,VCCDPHY0,60,-,-,-,-,,,72,VCCDPHY0,60,-,-,-,-
73,VSS,-,-,-,-,-,,,73,VSS,-,-,-,-,-
